category,boat_name,result_position
Class 40,Paprec Arkéa,1
Rhum Multi,JESS,1
Class 40,ALLAGRANDE PIRELLI,2
Ultim,ACTUAL ULTIM 3,5
Class 40,QUEGUINER - INNOVEO,3
IMOCA,LinkedOut,1
Ocean Fifty,ARKEMA,2
Class 40,Banque du Leman,4
Class 40,Redman,5
Rhum Mono,Notre Méditerranée - Ville de Nice,1
IMOCA,APIVIA,2
Class 40,IBSA,6
IMOCA,CHARAL,3
Class 40,Lamotte - Module Création,7
Rhum Mono,Formatives ESI Business School pour Ocean As Common,2
Class 40,Groupe SNEF,8
Class 40,Fondation Stargardt,9
IMOCA,Holcim - PRB,4
Rhum Multi,We Explore,2
IMOCA,BIOTHERM,5
Class 40,HBF - Reforest'Action,10
Rhum Multi,LODIGROUP,3
IMOCA,V and B - Monbana - Mayenne,6
Class 40,CREDIT MUTUEL,11
IMOCA,TEAMWORK.NET,7
Class 40,HappyVore - Café Joyeux,12
Class 40,Nestenn - Entrepreneurs pour la Planète,13
Class 40,Project Rescue Ocean,14
Class 40,Polka Dot,15
IMOCA,Guyot environnement - Water Family,8
IMOCA,MACSF,9
Class 40,Edenred,16
Class 40,Rennes • Saint-Malo / Parenthèses de Vies,17
Class 40,Dékuple,18
Class 40,INFLUENCE,19
Rhum Mono,CAP AU CAP LOCATION,3
Class 40,VICITAN,20
Class 40,CURIUM life forward,21
Rhum Mono,Tradisyon Gwadloup,4
Rhum Mono,Elora,5
IMOCA,Fortinet - Best Western,10
Rhum Multi,GDD,4
Class 40,Chocolats Paries - SCREB,22
Rhum Mono,Kornog 2,6
IMOCA,Mon Courtier Energie - Cap Agir Ensemble,11
Class 40,SOGESTRAN - SEAFRIGO,23
IMOCA,Medallia,12
Class 40,Kite,24
Rhum Multi,METAROM MG5,5
IMOCA,LAZARE,13
Class 40,Médecins du monde,25
IMOCA,La Mie Câline,14
Ocean Fifty,KOESIO,1
IMOCA,CORUM L'EPARGNE,15
Class 40,Recycleurs Bretons,26
Rhum Multi,Guyader - Savéol,6
IMOCA,Maître CoQ V,16
Rhum Multi,Ille et Vilaine Cap vers l'inclusion,7
Class 40,Prendre la mer Agir pour la Forêt,27
Class 40,VOGUE AVEC UN CROHN,28
IMOCA,Imagine,17
IMOCA,Monnoyeur - Duo for a job,18
IMOCA,Gentoo Sailing Team,19
Class 40,EVERIAL,29
Ultim,IDEC Sport,4
Rhum Multi,PiR2,8
IMOCA,PRYSMIAN GROUP,20
Class 40,Caisses Réunionnaises Complémentaires,30
IMOCA,Hublot,21
Class 40,Yoda,31
Rhum Multi,Flo,9
Rhum Multi,Moxie - Bati Armor,10
Rhum Mono,TERRANIMO,7
IMOCA,COMMEUNSEULHOMME Powered by Altavia,22
Class 40,Dopamine Sailing Team,32
Ocean Fifty,Primonial,3
Ocean Fifty,KOMILFO,4
Rhum Mono,VIABILIS - PEN DUICK III & ACH Pour les enfants de Robert Debré,8
Class 40,Naviguons contre le diabète,33
IMOCA,HUMAN Immobilier,23
Class 40,Legallais,34
IMOCA,Szabi Racing,26
Rhum Mono,FAIAOAHE,9
Class 40,Wisper,35
Ocean Fifty,Les P'tits Doudous,5
Ocean Fifty,GROUPE GCA-1001 SOURIRES,6
IMOCA,Malizia - Seaexplorer,24
Rhum Multi,ACAPELLA - La chaîne de l'espoir,11
IMOCA,Fives - Lantana Environnement,27
IMOCA,FREELANCE.COM,25
IMOCA,INITIATIVES CŒUR,28
Ultim,MAXI BANQUE POPULAIRE XI,7
Ultim,Maxi Edmond de Rothschild,1
IMOCA,China Dream•Haikou,30
Class 40,BLEU BLANC,36
Rhum Multi,HAPPY,13
Ultim,MIEUX,6
IMOCA,Groupe SETIN,29
IMOCA,Kattan,31
Rhum Multi,Château du Launay,12
Class 40,CONSCIOUS PLANET,37
Class 40,CAPTAIN ALTERNANCE,38
IMOCA,Rêve de Large - Region Guadeloupe,32
Rhum Mono,JSB Déménagements,11
IMOCA,Demain c'est loin,33
Class 40,CENTRAKOR,39
Rhum Multi,Trilogik - Dys de Cœur,14
Class 40,A l'aveugle - Trim Control,
Class 40,ACI,
Ocean Fifty,LEYTON,
Class 40,Bateau Cit'Hôtel - Région Guadeloupe,
Class 40,CROSSCALL,
IMOCA,Oliver Heer Ocean Racing,34
Class 40,E.Leclerc Ville-La-Grand,
Class 40,EDIGO ~ UNIVERRE,
Rhum Multi,CMA Île-de-France - 60 000 Rebonds,
Class 40,EORA,
Class 40,Fortissimo,
Class 40,FullSave,
IMOCA,BUREAU VALLEE,
Class 40,GLACES ROMANE,
Ultim,Sodebo Ultim 3,3
Class 40,Inter Invest,
Ocean Fifty,Solidaires En Peloton - ARSEP,
Rhum Mono,Bella Donna - Race for Pure Ocean,10
Ultim,SVR-LAZARTIGUE,2
IMOCA,DMG MORI Global One,
IMOCA,GROUPE APICIL,
Rhum Mono,SOS PARE-BRISE +,12
Rhum Multi,RAYON VERT,
Ultim,Use It Again! by Extia,8
IMOCA,Nexans - Art & Fenêtres,
Class 40,La Boulangère Bio,
Class 40,Prisme,
Class 40,RANDSTAD-AUSY,
Class 40,SERENIS Consulting,
Rhum Multi,Interaction,
Class 40,VIRANGA,
Class 40,Volvo,
